Epochs,1,2,3,4,5,6,7
75,1.28983317307,1.23153385334,1.2125331199,1.21100316987,1.2136736903,1.22003141079,1.21391865445
76,1.28737870136,1.23059876925,1.21154460256,1.21086785045,1.21254514475,1.22119494559,1.21455416152
77,1.28766878359,1.22907863037,1.21101472118,1.21014908914,1.21307667943,1.22188791845,1.2142265028
78,1.27976007627,1.22791110397,1.21008048522,1.20981541387,1.2120085769,1.22230977444,1.21252657084
79,1.28085266371,1.226040136,1.20845758834,1.20804792089,1.21052504856,1.22009942129,1.21415619577
80,1.27707504792,1.22646081314,1.2084333338,1.20658865161,1.21063840976,1.22021165492,1.21316174966
81,1.27681782641,1.22711152344,1.20726702948,1.20642598932,1.21014883968,1.22055802025,1.21331751308
82,1.27410018715,1.22492541736,1.20661856894,1.20636512951,1.2089416414,1.21948120841,1.21093724223
83,1.27076492848,1.22341652508,1.20615433704,1.20677533886,1.20807614874,1.21815518309,1.21057863691
84,1.27376140271,1.2233584495,1.20458057612,1.2060983971,1.20755477323,1.21634340564,1.21005891164
85,1.27211413748,1.22188074494,1.20538248839,1.20538063039,1.20779821912,1.21713086186,1.20983834931
86,1.27124962042,1.22032906077,1.20503718391,1.20250723472,1.20588474098,1.21506982402,1.20995506159
87,1.26849738214,1.22089524375,1.20396048434,1.20478011895,1.20481388784,1.2153439781,1.20871467682
88,1.26780428804,1.2197302136,1.20269646606,1.20192046173,1.20510603561,1.21493655453,1.20717976562
89,1.26606230614,1.21986447486,1.20298803014,1.20216992816,1.20552619559,1.21334967028,1.20606812402
90,1.26634302925,1.21912270128,1.20128725223,1.20069334333,1.20501003207,1.21384344452,1.20570248522
91,1.26281639809,1.21770141164,1.20235604168,1.2010148904,1.20373015326,1.21370152542,1.20576044875
92,1.26236304136,1.21619139164,1.20071910214,1.19931038872,1.20297080083,1.21169072437,1.20570603948
93,1.26277771782,1.21648172054,1.19961881408,1.19902157606,1.20325773173,1.21139830127,1.20668788751
94,1.25678285462,1.21569556096,1.19815407586,1.19980690222,1.20185860747,1.21045996483,1.20634085976
95,1.25804315586,1.21424713107,1.19842726124,1.19735775951,1.2007796012,1.21010531596,1.20358311153
96,1.25662316737,1.21509213816,1.19829121068,1.19556752124,1.20100210925,1.20958696215,1.20448988207
97,1.25671238413,1.21337670459,1.1978480594,1.19530731194,1.19948143158,1.21060753222,1.2031755706
98,1.25405871803,1.21258743976,1.19645947925,1.19459803307,1.19876130976,1.20796803972,1.20303899955
99,1.25311394424,1.21252438235,1.19663028869,1.19415901084,1.20002066307,1.2087781017,1.20213549378
100,1.25137402885,1.21249669374,1.19559088852,1.19477823417,1.19804374996,1.20840437661,1.20152849812
101,1.25114007552,1.21081827563,1.19449219076,1.1939402066,1.19801241355,1.21094031106,1.20075886771
102,1.24894944653,1.21118367874,1.19576277062,1.19362858416,1.19856942286,1.20743837702,1.20069720159
103,1.25004156474,1.20962528607,1.19487077199,1.19261153942,1.1978019388,1.20653758782,1.20097898317
104,1.24724001051,1.20990049057,1.19364667686,1.19198453189,1.19586459535,1.20719167655,1.19842082073
105,1.24622178946,1.20893176981,1.19231883976,1.19165899472,1.19598626504,1.20776256441,1.19776476146
106,1.24549350474,1.20800757933,1.19288747003,1.19109212831,1.1953645671,1.20648751184,1.19780073309
107,1.2460871151,1.20744370945,1.19173314751,1.19045938317,1.19539061335,1.20444766023,1.19824203559
108,1.24512888456,1.20691868466,1.19150820337,1.1891149546,1.19450968406,1.20393133012,1.19805138945
