Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
22,2.46606551138,2.05452513999,1.90349812619,1.83437455252,1.77752054928,1.7698535587,1.82388225105,1.77754104229,1.79047514491,1.77386415479,1.78214321574,1.78024334084,1.78810977092,1.793836464,1.81994295834
23,2.45899323959,2.01802501348,1.86695432992,1.79813601656,1.73870658886,1.73582015272,1.77978912319,1.75014779581,1.74871242525,1.74579430408,1.74518159041,1.75071186647,1.75307087867,1.77448471713,1.78558894964
24,2.44878859598,1.98884880868,1.83012107798,1.76382144323,1.71365581528,1.7055978775,1.75479126689,1.70665357816,1.71510313351,1.71161150681,1.71055383666,1.71062763146,1.7273305721,1.73413319731,1.7603060522
25,2.44336280307,1.96238875085,1.80405469946,1.735712322,1.67948209523,1.67917772786,1.72237708328,1.68508738103,1.6830034411,1.68006235319,1.68924513555,1.68219571216,1.69625655377,1.70283193536,1.73296430616
26,2.43703035501,1.93169577526,1.76747828903,1.70298177067,1.65811154597,1.64563995893,1.69852715456,1.65570066796,1.66024569336,1.65662183276,1.65777253801,1.65886753534,1.67905544101,1.6833111862,1.70108205424
27,2.42937715306,1.91483770476,1.74458927081,1.67054635016,1.62718225929,1.61619226073,1.67143266457,1.63208808234,1.63760620757,1.63158910894,1.63561346137,1.63177414755,1.64576755516,1.65608920426,1.67546536416
28,2.42403829114,1.89547129168,1.71763294787,1.64790093209,1.5995858033,1.59837773393,1.63717881641,1.61323596663,1.61892179657,1.60861080313,1.61325502012,1.59996674416,1.62366285254,1.63309639985,1.65734625687
29,2.42015274975,1.86653789796,1.69421014373,1.62579875029,1.58171627578,1.57916463399,1.62306794642,1.57854481616,1.59614312918,1.58623095837,1.58686623605,1.59145880467,1.6060931316,1.6131557376,1.63345658771
30,2.40590921027,1.84058857333,1.66525320309,1.60202751911,1.55854324541,1.55970190783,1.59688799965,1.56206291451,1.57265585327,1.56084797952,1.57113814875,1.57338986421,1.58764292428,1.59103871369,1.61254045637
31,2.40554039902,1.82996380242,1.64400431596,1.58723596448,1.54634405272,1.54021821452,1.57484525609,1.54987987052,1.54704310248,1.5443807469,1.5485569353,1.55270292509,1.56206372902,1.56945029243,1.58363468309
32,2.40133224307,1.80669889728,1.62724628348,1.56778081622,1.523458927,1.52669853558,1.56886287268,1.53762265151,1.52948786897,1.5307698677,1.53965512275,1.52990218324,1.5426452632,1.55403518351,1.573302283
33,2.39786482047,1.78905720203,1.60871944187,1.54335433113,1.5096529782,1.50289392667,1.54141669832,1.51198263338,1.51805923813,1.51409951083,1.51632343036,1.51739041021,1.53462560247,1.53482232589,1.55646484984
34,2.38498125374,1.76228083092,1.58964561595,1.53074564079,1.49645988064,1.49531545209,1.52379417646,1.49951722511,1.49935671817,1.49294341895,1.4995482518,1.50446304668,1.5170396754,1.51708020799,1.5379738314
35,2.38567721786,1.75232001993,1.57315165193,1.51631891291,1.48451187281,1.48000707001,1.51651916795,1.48304384354,1.48712066582,1.48160852733,1.49135685329,1.49496756346,1.49720085074,1.50157268126,1.52223870114
36,2.37676032233,1.73099258797,1.55537219505,1.49545456577,1.46994319876,1.46564194804,1.4977121681,1.47925292846,1.47163482047,1.47548802591,1.47919344728,1.477605012,1.48665579593,1.48925839552,1.51260610189
