Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,2.3420048076915276,1.5533129491441238,1.2749713812834764,1.237589356524505,1.2343536578063283,1.243909402948911,1.2635783327123842,1.2752761070845557,1.2783900706898768,1.2826979799627978,1.2847851068957619,1.2862488886747805,1.2907801913433388,1.291994304604869,1.2984912576457899
34,2.3347800199468947,1.533889800472989,1.2681231264208184,1.236312133826768,1.229821333882824,1.237802517218668,1.2565506896538938,1.26461773374693,1.271446522815946,1.2744566054199005,1.2769107898944931,1.2765291972839816,1.2848204686211757,1.2861218432911108,1.2948445634848715
35,2.3289230785699453,1.520803941186443,1.2628191495667576,1.2286436754344399,1.2222242513463324,1.2347681893677007,1.2536235554138861,1.2554150613930708,1.2674536178717173,1.2667585580633731,1.2696193329985386,1.2658275343280423,1.274959198451433,1.2756184026843211,1.281610273669128
36,2.3263294510889962,1.5056206296267622,1.255956188242106,1.2248950170114161,1.2195614148773368,1.2303289526798686,1.2451486413690667,1.2518614451090495,1.2604796910029876,1.2635996445001427,1.2619550664568209,1.2633313490794256,1.2666018151846088,1.2677274952169324,1.2769520334575488
37,2.3221692895276598,1.490161885329283,1.248419290627473,1.2216791224916508,1.213158800420747,1.2273968086868037,1.2422010895438071,1.2476123079576127,1.2538923515041647,1.2554244891821082,1.2593264413299745,1.2500127579495404,1.258420835323021,1.2654453281496392,1.268371499188016
38,2.315721682124715,1.4774209263111941,1.245401637168902,1.2180612176915373,1.2110881838582963,1.2205970248237985,1.2386478399675653,1.2422382460265864,1.2492820631655817,1.2542759023728918,1.2503017741546678,1.2468718379021893,1.253964310083233,1.261434643646407,1.265155681608748
39,2.3132206057889513,1.4652249311488834,1.2408060992350345,1.2150982250472964,1.2082007769856118,1.2174290594507435,1.2325540765891436,1.2387073047825548,1.2423040618864138,1.2461256458831895,1.2481607843617923,1.2452325130922046,1.2504641791640736,1.2542507459557122,1.2569264741090054
40,2.309535628565128,1.4515241616844914,1.2349395358590387,1.2121737435560678,1.2030347342285066,1.213302342618098,1.2318433093873362,1.2349469580936954,1.2399569342135035,1.2429580791772668,1.2433087224300226,1.2410986058197888,1.2438985186717548,1.2487529991754418,1.2506978174489647
41,2.301774980116588,1.4418201112139204,1.2318567838825163,1.2093967829284007,1.2018050567107714,1.2091891286803074,1.2229467355530454,1.227792112553706,1.2345226492970727,1.2399687814489182,1.23726358852317,1.2371579885182133,1.2384913740001742,1.244178668397372,1.2510178789273383
42,2.298296551076934,1.4344978649542415,1.2273705326701216,1.2073769252118631,1.1988353183834457,1.2062425906540917,1.2190766336740104,1.2255571729498482,1.2311796051017843,1.2353483740004778,1.2334287154290917,1.233081673463386,1.2336022353563152,1.2410983277148888,1.242641460020374
43,2.295182688763356,1.4248656130010748,1.2232467190164034,1.2032350438540098,1.1954767759676543,1.2062229582520783,1.218447448462169,1.2208765468962206,1.2278530958886198,1.232704802754333,1.232894269820771,1.2296829384482673,1.2306641731887566,1.2381968061780668,1.237986286877736
44,2.290837893509263,1.4138543636203897,1.221113949246373,1.201951161357453,1.192352921644136,1.2041553815857309,1.2157869828497525,1.2203573017172475,1.22499528727739,1.228524121523462,1.2259289552460457,1.2261096417979063,1.2257709328854671,1.2338331234259683,1.236872040707132
45,2.2882045844935397,1.4060483278472566,1.2198211784943485,1.1982105934746354,1.1887979861284095,1.2013326941943558,1.2187133822915164,1.2165786155586034,1.2237279497343918,1.2255688626537278,1.224487759014586,1.2208441443280946,1.2223694677821926,1.2318439229589995,1.2296433117418568
46,2.2812715827441608,1.3987804314694987,1.214360908546269,1.1946337876002606,1.1891776622970247,1.1993497942314773,1.2131882126151035,1.2122065875048194,1.2194391121090704,1.2222432880825962,1.2203163722101384,1.2191782322386926,1.2183013158548073,1.2275152056595016,1.2264987615203313
47,2.27923420429441,1.3910010138930302,1.2126324493376934,1.1947496394871975,1.1863199638834772,1.194861303587429,1.2101590344037156,1.2106471061706543,1.2162808575422632,1.2195108779978696,1.2195648170632163,1.2148777423861048,1.2174048927182057,1.224375122231864,1.2252182162666185
48,2.2742482355647664,1.382823731295615,1.2089845592300004,1.190745135972217,1.1863077666353243,1.196700668725811,1.2042419096580073,1.2141206499005928,1.2124283331272088,1.2194508629604581,1.2167153081245399,1.2105760578850628,1.2139775346537105,1.221115981946226,1.2198073703394732
49,2.2694243051649776,1.3774307214931496,1.2091156792026494,1.187979234678881,1.183360436101251,1.191216341784743,1.202281467250136,1.210031376705795,1.2113118326684187,1.214441265937037,1.212567972282822,1.207365253684199,1.2110647326610127,1.2183564126165838,1.2192117085392273
